Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
10689.0,Generator Rex: Agent of Providence,3DS,2011.0,Action,Activision,0.07,0.02,0.0,0.01,0.1
10856.0,Bleach,DS,2008.0,Sports,Electronic Arts,0.07,0.02,0.0,0.01,0.09
12101.0,Family Trainer: Treasure Adventure,Wii,2010.0,Sports,Namco Bandai Games,0.0,0.06,0.0,0.01,0.07
2973.0,Shark Tale,GBA,2004.0,Action,Activision,0.49,0.18,0.0,0.01,0.68
8504.0,Medieval Games,Wii,2009.0,Action,Vir2L Studios,0.14,0.01,0.0,0.01,0.16
15102.0,Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Fuujirareta Megami Portable,PSP,2011.0,Misc,Paon,0.0,0.0,0.02,0.0,0.02
661.0,WCW/nWo Revenge,N64,1998.0,Fighting,THQ,1.94,0.39,0.03,0.02,2.38
12769.0,Angelique Trois,PS2,2000.0,Adventure,Tecmo Koei,0.0,0.0,0.06,0.0,0.06
15454.0,UFO: Trilogy,PC,2007.0,Strategy,Unknown,0.0,0.02,0.0,0.0,0.02
10758.0,Wasteland 2,PC,2015.0,Role-Playing,inXile Entertainment,0.02,0.06,0.0,0.01,0.1
12558.0,Top Gun: Hard Lock,X360,2012.0,Action,505 Games,0.03,0.02,0.0,0.0,0.06
6955.0,New Carnival Games,DS,2010.0,Misc,Take-Two Interactive,0.16,0.05,0.0,0.02,0.23
16089.0,"Iza, Shutsujin! Koisen",PSP,2011.0,Adventure,Quinrose,0.0,0.0,0.01,0.0,0.01
5398.0,Harry Potter and the Half-Blood Prince,PS3,2009.0,Action,Electronic Arts,0.15,0.13,0.0,0.06,0.34
8788.0,Blazing Angels 2: Secret Missions of WWII,PS3,2007.0,Simulation,Ubisoft,0.1,0.03,0.0,0.02,0.15
2698.0,ISS Pro Evolution,PS,1998.0,Sports,Konami Digital Entertainment,0.0,0.0,0.71,0.05,0.76
1932.0,Skylanders SWAP Force,PS3,2013.0,Platform,Activision,0.43,0.44,0.0,0.2,1.07
999.0,Hitman: Absolution,X360,2012.0,Action,Square Enix,0.68,0.9,0.01,0.17,1.76
4821.0,Cabela's Big Game Hunter 2010,PS3,2009.0,Sports,Activision Value,0.37,0.0,0.0,0.03,0.4
11578.0,Motto! Stitch! DS Rhythm de Rakugaki Daisakusen,DS,2010.0,Misc,Disney Interactive Studios,0.0,0.0,0.08,0.0,0.08
319.0,The Legend of Zelda: Link's Awakening,GB,1992.0,Action,Nintendo,2.21,0.96,0.54,0.13,3.83
10708.0,Little League World Series Baseball 2010,X360,2010.0,Sports,Activision,0.09,0.0,0.0,0.01,0.1
14232.0,Utawarerumono Portable,PSP,2009.0,Role-Playing,Aqua Plus,0.0,0.0,0.03,0.0,0.03
689.0,Need For Speed: High Stakes,PS,1999.0,Racing,Electronic Arts,1.58,0.64,0.0,0.09,2.31
611.0,Game Party,Wii,2007.0,Misc,Midway Games,1.5,0.78,0.0,0.24,2.52
6101.0,Kung Zhu,DS,2010.0,Action,Activision,0.26,0.0,0.0,0.02,0.29
12128.0,Lost in Blue 2,DS,2007.0,Adventure,Konami Digital Entertainment,0.01,0.01,0.05,0.0,0.07
